Year,Month,Day,Hour,Dhi,Dni,Ebh,Ghi,rain,tem,hum,Cloud,Zenith,gen
2017,7,1,1,0,0,0,0,0,25.8,84,100,122,0
2017,7,1,2,0,0,0,0,0,25.6,84,100,122,0
2017,7,1,3,0,0,0,0,0,25.5,86,100,118,0
2017,7,1,4,0,0,0,0,0,25.1,90,100,111,0
2017,7,1,5,0,0,0,0,0,23.9,90,100,103,0
2017,7,1,6,0,0,0,0,0,24.7,86,100,92,0
2017,7,1,7,0,0,0,0,0,25.4,87,100,81,0.044248
2017,7,1,8,0,0,0,0,0,25.1,84,100,69,0.104198
2017,7,1,9,0,0,0,0,0,25.7,83,100,57,0.301116
2017,7,1,10,0,0,0,0,0,26,83,100,44,0.458051
2017,7,1,11,0,0,0,0,0,26.1,80,100,32,1.611794
2017,7,1,12,0,0,0,0,0,26.6,73,100,21,2.171503
2017,7,1,13,4,0,0,4,0,28.2,73,99.6,12,2.698762
2017,7,1,14,24,0,0,24,0,28.5,68,97.6,14,3.712994
2017,7,1,15,40,0,0,40,0,29.3,71,95.6,25,2.23704
2017,7,1,16,41,0,0,41,0,28.3,78,94.4,37,0.914653
2017,7,1,17,24,0,0,24,0,27.5,75,95.8,49,1.004413
2017,7,1,18,12,0,0,12,0,27.9,77,97,62,0.687474
2017,7,1,19,4,0,0,4,0,27.2,79,98,74,0.085175
2017,7,1,20,1,0,0,1,0,26.7,83,99,85,0.016943
2017,7,1,21,0,0,0,0,0,26.2,84,99.4,95,0
2017,7,1,22,0,0,0,0,0,26,86,100,105,0
2017,7,1,23,0,0,0,0,0,26.1,87,100,113,0
2017,7,2,0,0,0,0,0,0.1,26.2,89,100,119,0
2017,7,2,1,0,0,0,0,0,25.8,87,100,122,0
2017,7,2,2,0,0,0,0,0,25.8,85,100,122,0
2017,7,2,3,0,0,0,0,0,25.8,82,100,118,0
2017,7,2,4,0,0,0,0,0,25.7,84,100,111,0
2017,7,2,5,0,0,0,0,0,26.4,84,100,103,0
2017,7,2,6,0,0,0,0,0,26.6,85,100,92,0.00016
2017,7,2,7,1,0,0,1,0,26.5,84,99.1,81,0.023924
2017,7,2,8,15,0,0,15,0,26.7,79,94.5,69,0.325604
2017,7,2,9,58,0,0,58,0.2,27.4,84,87.5,57,0.907339
2017,7,2,10,105,0,0,105,0.2,27.1,89,83.8,44,0.91808
2017,7,2,11,29,0,0,29,0,26.6,82,96.5,32,1.222926
2017,7,2,12,302,4,4,306,0,27.8,76,67,21,1.263015
2017,7,2,13,258,2,2,260,0,28.7,80,73.8,12,1.366552
2017,7,2,14,209,1,1,210,0,28,82,78.7,14,1.131398
2017,7,2,15,325,10,9,333,0,27.6,77,63.4,25,1.046008
2017,7,2,16,373,21,17,390,0,29.1,78,50.6,37,0.807575
2017,7,2,17,330,90,60,390,0,28.3,81,37.2,49,0.597141
2017,7,2,18,63,0,0,63,0,27.6,86,84.8,62,0.344787
2017,7,2,19,30,0,0,30,0,26.7,86,85.8,74,0.121823
2017,7,2,20,28,12,2,30,0,26.7,84,38.6,85,0.005541
2017,7,2,21,0,0,0,0,0,26.7,81,31.8,95,0
2017,7,2,22,0,0,0,0,0,27,81,30.1,105,0
2017,7,2,23,0,0,0,0,0,26.7,77,31,113,0
2017,7,3,0,0,0,0,0,0,26.8,79,30.6,119,0
2017,7,3,1,0,0,0,0,0,26.8,84,30,122,0
2017,7,3,2,0,0,0,0,0,26.5,86,30.4,122,0
2017,7,3,3,0,0,0,0,0,26.2,86,31,118,0
2017,7,3,4,0,0,0,0,0,26.2,86,38.7,111,0
2017,7,3,5,0,0,0,0,0,26.3,86,73,103,0
2017,7,3,6,0,0,0,0,0,26,86,99,92,0.00064
