Year,Month,Day,Hour,Dhi,Dni,Ebh,Ghi,rain,tem,hum,,
2019,7,1,0,0,0,0,0,0,20,99,,
2019,7,1,1,0,0,0,0,0,19.6,99,,
2019,7,1,2,0,0,0,0,0,19.2,99,,
2019,7,1,3,0,0,0,0,0,19,99,,
2019,7,1,4,0,0,0,0,0,19,99,,
2019,7,1,5,0,0,0,0,0,18.8,99,,
2019,7,1,6,3,7,1,4,0,19.3,99,,
2019,7,1,7,55,25,4,59,0,20.1,99,,
2019,7,1,8,130,20,7,137,0,20.7,99,,
2019,7,1,9,152,6,3,156,0,21.7,97,,
2019,7,1,10,294,69,48,342,0,22.9,88,,
2019,7,1,11,81,0,0,81,0,23.4,89,,
2019,7,1,12,121,0,0,122,0,23,93,,
2019,7,1,13,73,0,0,73,0,22.9,89,,
2019,7,1,14,88,0,0,88,0,23.3,94,,
2019,7,1,15,51,0,0,51,0,22.7,97,,
2019,7,1,16,201,3,3,203,0,22.9,92,,
2019,7,1,17,181,5,3,184,0,22.5,96,,
2019,7,1,18,150,10,5,155,0,22.5,95,,
2019,7,1,19,69,7,2,71,0,22,95,,
2019,7,1,20,19,9,1,21,0,21.7,97,,
2019,7,1,21,0,0,0,0,0,21.3,99,,
2019,7,1,22,0,0,0,0,0,21,99,,
2019,7,1,23,0,0,0,0,0,21.1,99,,
2019,7,2,0,0,0,0,0,0,21.2,99,,
2019,7,2,1,0,0,0,0,0,21.2,95,,
2019,7,2,2,0,0,0,0,0,21.1,94,,
2019,7,2,3,0,0,0,0,0,21.1,98,,
2019,7,2,4,0,0,0,0,0,20.6,99,,
2019,7,2,5,0,0,0,0,0,20.7,99,,
2019,7,2,6,3,7,1,4,0,20.8,96,,
2019,7,2,7,36,7,1,37,0,21.2,94,,
2019,7,2,8,131,23,8,139,0,22.3,86,,
2019,7,2,9,269,182,99,368,0,23.6,83,,
2019,7,2,10,350,284,204,553,0,24.6,76,,
2019,7,2,11,414,317,267,681,0,25.3,71,,
2019,7,2,12,459,331,309,768,0,26,69,,
2019,7,2,13,351,564,551,902,0,26.7,66,,
2019,7,2,14,449,377,365,814,0,27.4,60,,
2019,7,2,15,210,780,708,918,0,27.6,56,,
2019,7,2,16,115,910,730,845,0,26.7,61,,
2019,7,2,17,216,528,343,559,0,26.1,75,,
2019,7,2,18,173,427,205,378,0,25.4,76,,
2019,7,2,19,123,185,50,173,0,24.4,78,,
2019,7,2,20,36,51,9,44,0,22.5,87,,
2019,7,2,21,0,0,0,0,0,21.5,95,,
2019,7,2,22,0,0,0,0,0,21.2,96,,
2019,7,2,23,0,0,0,0,0,20.7,99,,
2019,7,3,0,0,0,0,0,0,20.8,99,,
2019,7,3,1,0,0,0,0,0,20.1,99,,
2019,7,3,2,0,0,0,0,0,19.8,99,,
2019,7,3,3,0,0,0,0,0,19.7,99,,
2019,7,3,4,0,0,0,0,0,19.8,99,,
2019,7,3,5,0,0,0,0,0,19.3,99,,
2019,7,3,6,2,0,0,2,0,18.9,99,,
2019,7,3,7,58,45,8,66,0,20.4,91,,
2019,7,3,8,143,66,23,165,0,21.1,86,,
2019,7,3,9,158,7,4,161,0,21.3,87,,
2019,7,3,10,340,259,188,529,0,23.7,71,,
2019,7,3,11,391,209,180,571,0,25,70,,
2019,7,3,12,461,294,274,735,0,26,63,,
2019,7,3,13,530,105,103,633,0,26.9,57,,
2019,7,3,14,519,162,157,676,0,27.1,54,,
2019,7,3,15,412,26,24,436,0,26,66,,
2019,7,3,16,335,41,32,367,0,26.3,62,,
2019,7,3,17,281,85,54,335,0,26.1,65,,
2019,7,3,18,177,365,166,343,0,25.9,68,,
2019,7,3,19,119,239,70,189,0,24.2,71,,
2019,7,3,20,32,27,5,36,0,22.3,79,,
2019,7,3,21,0,0,0,0,0,21.6,83,,
2019,7,3,22,0,0,0,0,0,20.2,97,,
2019,7,3,23,0,0,0,0,0,19.4,99,,
2019,7,4,0,0,0,0,0,0,18.9,99,,
