window 60,b,c,d,window 120,b,c,d,C_60_train,C_120_train
0,0,0,0,0,0,0,0,100,100
0,0,0,0,0,0,0,0,100,100
0,0,0,0,0,0,0,0,100,100
0,0,0,0,0,0,0,0,100,100
0,0,0,0,0,0,0,0,100,100
0,0,0,0,0,0,0,0,100,100
0,0,0,0,0,0,0,0,100,100
0,0,0,0,0,0,0,0,100,100
0,0,0,0,0,0,0,0,100,100
0,0,0,0,0,0,0,0,100,100
0,0,0,0,0,0,0,0,100,100
0,0,0,0,1,0,0,1,100,100
6,0,0,6,8,0,0,8,99,99
23,0,0,23,23,0,0,23,98,98
39,0,0,39,36,0,0,36,96,96
40,0,0,40,37,0,0,37,95,95
25,0,0,25,25,0,0,25,96,96
12,0,0,12,13,0,0,13,97,97
4,0,0,4,5,0,0,5,98,98
1,0,0,1,1,0,0,1,99,99
0,0,0,0,0,0,0,0,99,99
0,0,0,0,0,0,0,0,100,100
0,0,0,0,0,0,0,0,100,100
0,0,0,0,0,0,0,0,100,100
0,0,0,0,0,0,0,0,100,100
0,0,0,0,0,0,0,0,100,100
0,0,0,0,0,0,0,0,100,100
0,0,0,0,0,0,0,0,100,100
0,0,0,0,0,0,0,0,100,100
0,0,0,0,0,0,0,0,100,100
2,0,0,2,4,0,0,4,99,98
18,0,0,18,23,0,0,23,94,94
62,0,0,62,61,0,0,61,87,88
90,0,0,90,71,0,0,71,86,88
121,1,1,122,154,2,1,156,85,81
235,3,2,238,199,2,2,200,74,79
199,1,1,200,222,2,2,223,80,77
242,2,2,243,262,3,3,265,75,72
357,15,13,370,331,13,11,342,59,61
379,96,71,450,358,77,56,415,42,45
281,111,78,359,256,71,50,306,44,53
99,3,2,101,131,20,13,145,78,71
51,10,2,52,49,8,1,50,70,66
32,14,2,34,25,8,1,27,41,48
1,0,0,1,6,3,0,7,32,33
0,0,0,0,0,0,0,0,24,27
0,0,0,0,0,0,0,0,28,29
0,0,0,0,0,0,0,0,31,31
0,0,0,0,0,0,0,0,30,30
0,0,0,0,0,0,0,0,30,30
0,0,0,0,0,0,0,0,31,32
0,0,0,0,0,0,0,0,42,46
0,0,0,0,0,0,0,0,73,71
0,0,0,0,0,0,0,0,96,92
2,0,0,2,3,0,0,3,99,98
9,0,0,9,11,0,0,11,97,97
24,0,0,24,24,0,0,24,95,95
40,0,0,40,39,0,0,39,94,94
53,0,0,53,53,0,0,53,94,94
66,0,0,66,67,0,0,67,93,93
89,0,0,89,93,0,0,93,91,91
137,0,0,137,156,1,1,156,86,84
283,9,8,291,281,31,25,306,68,65
373,192,143,517,334,191,137,471,34,37
282,288,199,481,296,203,142,437,24,31
207,32,17,224,192,94,61,252,50,47
75,3,1,77,91,8,3,94,70,62
17,3,0,18,24,2,0,25,55,53
1,0,0,1,5,2,0,5,32,34
0,0,0,0,0,0,0,0,24,25
0,0,0,0,0,0,0,0,25,31
0,0,0,0,0,0,0,0,54,54
0,0,0,0,0,0,0,0,82,76
0,0,0,0,0,0,0,0,77,75
0,0,0,0,0,0,0,0,55,59
0,0,0,0,0,0,0,0,54,59
0,0,0,0,0,0,0,0,79,77
1,0,0,1,3,0,0,3,94,90
19,0,0,19,29,1,0,29,86,85
91,3,1,92,93,3,1,94,70,72
171,5,3,173,156,4,2,158,64,67
190,2,2,191,199,3,2,201,71,69
266,4,4,270,275,5,5,279,68,67
390,11,11,400,360,10,9,369,57,60
402,15,14,416,372,11,11,383,57,60
321,7,7,328,311,7,7,318,66,67
245,2,2,247,256,5,4,261,72,70
267,123,90,357,239,76,56,295,50,59
193,121,88,281,193,76,56,249,54,59
98,2,1,99,109,4,2,111,72,69
65,4,1,66,63,3,1,64,60,60
20,3,1,21,25,2,1,26,48,48
1,0,0,1,4,1,0,4,35,37
0,0,0,0,0,0,0,0,31,34
0,0,0,0,0,0,0,0,41,41
0,0,0,0,0,0,0,0,53,52
0,0,0,0,0,0,0,0,63,62
0,0,0,0,0,0,0,0,71,71
0,0,0,0,0,0,0,0,78,78
0,0,0,0,0,0,0,0,83,83
0,0,0,0,0,0,0,0,84,84
1,0,0,1,3,0,0,3,85,84
14,0,0,14,21,1,0,21,82,80
72,4,2,74,87,8,4,91,68,66
204,41,25,229,198,60,40,237,44,45
293,219,163,455,267,243,191,458,21,22
263,500,424,687,278,438,375,653,5,9
282,528,489,772,277,531,489,766,3,3
322,475,461,783,309,496,477,786,5,4
307,506,486,793,309,494,472,781,4,5
299,470,429,728,314,414,380,695,7,11
315,321,255,570,294,378,296,590,16,11
206,476,310,516,234,381,239,473,2,8
166,338,171,336,161,322,175,336,6,8
113,108,35,148,107,143,56,164,17,12
34,34,6,40,43,37,8,51,8,9
1,3,0,1,7,8,1,8,0,1
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,7,13
0,0,0,0,0,0,0,0,45,46
0,0,0,0,0,0,0,0,88,82
0,0,0,0,0,0,0,0,100,99
0,0,0,0,0,0,0,0,100,100
0,0,0,0,0,0,0,0,100,100
0,0,0,0,0,0,0,0,100,100
0,0,0,0,0,0,0,0,100,100
0,0,0,0,0,0,0,0,100,100
0,0,0,0,0,0,0,0,100,100
0,0,0,0,0,0,0,0,100,100
5,0,0,5,7,0,0,7,100,99
22,0,0,22,21,0,0,21,98,97
57,0,0,57,72,0,0,72,92,89
156,4,2,158,140,6,3,142,72,72
167,10,5,172,143,7,3,146,57,64
58,2,1,59,73,5,2,75,75,75
5,0,0,5,13,0,0,13,96,92
0,0,0,0,0,0,0,0,93,89
0,0,0,0,0,0,0,0,66,66
0,0,0,0,0,0,0,0,44,52
0,0,0,0,0,0,0,0,62,63
0,0,0,0,0,0,0,0,91,87
0,0,0,0,0,0,0,0,100,99
0,0,0,0,0,0,0,0,100,100
0,0,0,0,0,0,0,0,100,100
0,0,0,0,0,0,0,0,100,100
0,0,0,0,0,0,0,0,100,100
0,0,0,0,0,0,0,0,100,100
0,0,0,0,4,0,0,4,100,99
34,0,0,34,52,0,0,52,93,91
165,2,2,166,177,7,6,184,73,73
359,48,43,402,333,34,31,364,48,53
409,47,43,452,370,35,31,401,48,53
245,3,3,248,238,7,6,245,73,73
74,0,0,74,128,0,0,129,92,86
164,1,1,165,172,3,3,175,81,79
325,23,17,343,292,49,33,325,55,55
314,159,97,411,298,151,86,384,32,34
216,218,106,322,214,200,97,311,23,25
110,106,35,145,113,119,47,159,39,36
23,9,1,25,36,39,11,47,38,33
1,3,0,2,5,4,1,6,19,27
0,0,0,0,0,0,0,0,30,28
0,0,0,0,0,0,0,0,31,31
0,0,0,0,0,0,0,0,32,33
0,0,0,0,0,0,0,0,34,32
0,0,0,0,0,0,0,0,24,25
0,0,0,0,0,0,0,0,12,13
0,0,0,0,0,0,0,0,3,5
0,0,0,0,0,0,0,0,11,14
5,2,0,5,9,2,0,9,34,33
33,5,1,34,34,4,1,35,52,52
67,3,1,68,62,3,1,63,69,69
72,1,0,73,77,1,0,78,82,80
104,0,0,104,114,0,0,114,84,82
179,1,1,180,179,1,1,179,77,77
298,9,8,307,295,11,11,306,66,66
406,20,19,425,352,13,13,365,55,61
263,4,4,267,266,8,8,274,72,71
97,0,0,97,123,1,1,124,89,86
32,0,0,32,54,0,0,54,96,93
43,0,0,43,62,1,1,63,92,87
84,2,1,85,64,1,1,64,79,83
29,0,0,29,50,2,1,51,84,74
13,3,1,13,15,2,0,15,52,56
1,1,0,1,4,2,0,4,36,42
0,0,0,0,0,0,0,0,43,39
0,0,0,0,0,0,0,0,21,22
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0
5,10,2,7,13,13,2,15,1,7
45,42,9,54,57,43,12,68,24,20
134,62,21,154,136,56,21,157,37,37
207,35,18,226,221,51,26,247,49,44
306,38,28,334,316,47,33,349,50,46
422,79,67,489,407,69,58,465,40,42
387,62,56,442,367,49,43,410,51,54
288,2,2,290,327,12,11,338,70,65
341,4,4,345,332,6,6,338,64,64
342,9,8,350,326,10,9,334,60,62
284,14,11,295,295,14,11,306,61,59
256,22,14,270,242,20,13,255,54,56
185,20,10,195,170,14,8,178,52,57
77,5,2,79,85,6,2,88,63,60
21,2,0,21,26,2,0,26,55,55
1,0,0,1,4,0,0,4,42,43
0,0,0,0,0,0,0,0,36,39
0,0,0,0,0,0,0,0,51,54
0,0,0,0,0,0,0,0,68,61
0,0,0,0,0,0,0,0,59,64
0,0,0,0,0,0,0,0,65,63
0,0,0,0,0,0,0,0,66,64
0,0,0,0,0,0,0,0,61,60
0,0,0,0,0,0,0,0,57,57
3,0,0,3,9,2,0,9,58,55
35,7,1,36,34,5,1,36,49,55
71,6,2,73,77,7,2,80,64,61
121,5,2,123,111,4,2,113,71,72
126,1,1,127,121,2,1,122,79,78
89,0,0,89,108,0,0,108,88,85
102,0,0,102,130,2,2,131,89,85
167,3,3,170,175,3,3,178,82,81
247,9,9,256,241,7,7,248,72,73
268,8,7,275,272,12,10,282,68,66
288,22,17,305,246,15,11,257,58,64
213,19,13,226,228,24,16,244,61,58
140,17,9,150,125,13,7,132,63,66
48,3,1,49,67,10,4,71,74,64
15,3,0,15,20,3,1,20,50,50
1,0,0,1,5,1,0,5,30,35
0,0,0,0,0,0,0,0,42,38
0,0,0,0,0,0,0,0,43,44
0,0,0,0,0,0,0,0,47,45
0,0,0,0,0,0,0,0,49,48
0,0,0,0,0,0,0,0,53,51
0,0,0,0,0,0,0,0,49,48
0,0,0,0,0,0,0,0,40,40
0,0,0,0,0,1,0,0,25,23
4,7,1,6,9,6,1,10,2,17
36,14,3,39,33,10,2,35,31,33
81,10,4,85,79,9,3,82,57,56
146,7,4,150,136,6,3,139,61,64
182,5,4,187,158,4,3,161,67,70
157,2,2,159,174,2,2,176,78,75
214,1,1,216,204,1,1,205,74,75
253,2,2,255,257,2,2,259,71,70
288,4,3,291,299,7,7,305,67,64
343,16,14,357,320,12,10,330,55,58
305,37,28,332,310,33,25,335,50,49
270,62,40,310,255,68,39,294,40,40
204,124,56,260,196,102,44,240,22,25
110,107,33,144,112,97,35,147,15,17
31,27,5,36,40,37,9,50,12,10
1,2,0,1,6,4,1,6,0,4
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0
5,8,2,6,11,8,2,13,1,8
45,19,4,48,52,17,4,56,28,26
126,21,7,133,128,21,7,135,46,45
214,20,10,224,219,38,23,242,51,48
260,253,194,454,231,317,253,484,33,30
173,756,633,806,202,642,551,753,2,9
164,837,774,937,163,834,765,928,0,0
169,855,827,996,167,852,818,985,0,0
167,857,824,991,165,856,816,981,0,0
157,853,771,928,156,851,763,918,0,0
142,835,667,809,142,827,658,800,0,0
125,785,514,639,123,782,511,634,0,0
101,706,338,439,102,684,335,437,0,0
79,471,147,227,74,440,158,233,4,4
36,111,21,56,37,171,42,79,6,4
1,3,1,2,7,17,3,10,0,2
