이용률,비용
0.4,8052.29748
0.41,7848.605941
0.42,7781.906642
0.43,7642.113363
0.44,7511.031398
0.45,7420.142093
0.46,7330.936955
0.47,7240.342849
0.48,7196.011683
0.49,7096.472549
0.5,7015.827189
0.51,6909.663156
0.52,6810.041497
0.53,6726.241292
0.54,6690.718063
0.55,6693.742048
0.56,6676.220868
0.57,6600.325956
0.58,6562.891157
0.59,6542.882333
0.6,6533.933126
0.61,6504.115723
0.62,6411.098193
0.63,6359.669234
0.64,6320.992638
0.65,6247.883943
0.66,6265.040134
0.67,6255.437672
0.68,6207.9917
0.69,6190.811381
0.7,6194.811899
0.71,6170.173543
0.72,6137.610498
0.73,6143.64757
0.74,6137.21313
0.75,6128.135686
0.76,6133.363456
0.77,6135.229392
0.78,6156.55394
0.79,6149.953697
0.8,6148.468692
0.81,6115.875115
0.82,6094.074854
0.83,6161.601857
0.84,6149.502776
0.85,6130.760705
0.86,6122.163104
0.87,6140.565744
0.88,6133.29828
0.89,6132.671133
0.9,6151.863906
0.91,6147.343657
0.92,6127.368479
0.93,6102.84513
0.94,6122.029019
0.95,6095.128319
